file,column,role,description
dataset_A_wide_housing.csv,random_noise_26,numeric predictor,
dataset_A_wide_housing.csv,random_noise_27,numeric predictor,
dataset_A_wide_housing.csv,random_noise_28,numeric predictor,
dataset_A_wide_housing.csv,random_noise_29,numeric predictor,
dataset_A_wide_housing.csv,random_noise_30,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_01,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_02,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_03,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_04,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_05,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_06,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_07,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_08,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_09,numeric predictor,
dataset_A_wide_housing.csv,synthetic_feature_10,numeric predictor,
dataset_B_marketing_sales.csv,monthly_sales,target,Medium-width synthetic marketing dataset for method comparison.
dataset_B_marketing_sales.csv,month,numeric predictor,
dataset_B_marketing_sales.csv,tv_spend,numeric predictor,
dataset_B_marketing_sales.csv,search_ads_spend,numeric predictor,
dataset_B_marketing_sales.csv,social_media_spend,numeric predictor,
dataset_B_marketing_sales.csv,email_spend,numeric predictor,
dataset_B_marketing_sales.csv,website_visits,numeric predictor,
dataset_B_marketing_sales.csv,conversion_rate,numeric predictor,
dataset_B_marketing_sales.csv,repeat_customer_rate,numeric predictor,
dataset_B_marketing_sales.csv,competitor_price_index,numeric predictor,
dataset_B_marketing_sales.csv,seasonality_index,numeric predictor,
dataset_B_marketing_sales.csv,holiday_period,numeric predictor,
dataset_B_marketing_sales.csv,product_price,numeric predictor,
dataset_B_marketing_sales.csv,sales_team_size,numeric predictor,
dataset_B_marketing_sales.csv,customer_satisfaction,numeric predictor,
dataset_B_marketing_sales.csv,discount_rate,numeric predictor,
dataset_B_marketing_sales.csv,social_x_search,numeric predictor,
dataset_B_marketing_sales.csv,tv_x_holiday,numeric predictor,
dataset_B_marketing_sales.csv,visits_x_conversion,numeric predictor,
dataset_B_marketing_sales.csv,channel,categorical predictor,
dataset_B_marketing_sales.csv,region,categorical predictor,
dataset_B_marketing_sales.csv,marketing_noise_01,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_02,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_03,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_04,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_05,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_06,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_07,numeric predictor,
dataset_B_marketing_sales.csv,marketing_noise_08,numeric predictor,
