house_price,area_sqft,bedrooms,bathrooms,lot_size,garage_size,age_years,renovation_score,energy_efficiency,distance_to_center,school_quality,crime_index,walkability_score,median_income_area,property_tax_rate,mortgage_rate_proxy,transit_score,area_m2,living_area_proxy,rooms_total,lot_size_log,condition_index,location_desirability,income_proxy,neighborhood,building_type,heating_type,noise_loc_01,noise_loc_02,noise_loc_03,noise_loc_04,noise_loc_05,noise_size_06,noise_size_07,noise_size_08,noise_size_09,noise_size_10,random_noise_11,random_noise_12,random_noise_13,random_noise_14,random_noise_15,random_noise_16,random_noise_17,random_noise_18,random_noise_19,random_noise_20,random_noise_21,random_noise_22,random_noise_23,random_noise_24,random_noise_25,random_noise_26,random_noise_27,random_noise_28,random_noise_29,random_noise_30,synthetic_feature_01,synthetic_feature_02,synthetic_feature_03,synthetic_feature_04,synthetic_feature_05,synthetic_feature_06,synthetic_feature_07,synthetic_feature_08,synthetic_feature_09,synthetic_feature_10
545867.92,2400.41,4,3.2,4583.09,1,43.24,5.8,0.594,10.82,5.29,4.23,37.26,82391.6,1.005,5.803,33.05,220.65,2323.25,10.2,8.4301,3.721,0.91,80.876,Hillside,Condo,Electric,0.6034,-0.551,-1.9851,-2.0548,-0.9715,1.2386,2.0492,2.1775,1.5707,-0.1227,-1.036,0.1998,1.1649,1.4535,0.0085,-0.7327,1.2421,-0.5755,0.3704,2.1609,-1.194,-1.1613,0.5444,0.2727,0.4939,-2.1642,0.6523,2.5192,-1.1819,-1.6168,-0.3532,-0.4456,-1.0236,0.8444,0.6469,1.9018,-0.7377,2.2476,0.4912,0.6534
386410.9,2142.58,4,3.1,4128.23,1,29.37,5.03,0.337,8.99,5.9,6.12,36.32,61914.41,1.376,6.468,35.47,199.96,1900.84,10.1,8.3256,3.628,1.446,66.581,Industrial,Townhouse,Electric,-0.618,-0.9742,0.3931,1.6603,2.4017,1.111,2.076,-1.3968,1.4621,-0.3591,-0.4522,1.4582,1.4146,0.1335,0.6903,-0.5307,-0.4926,-0.2685,-0.1101,0.1704,1.4027,0.2446,-2.6217,0.7939,-1.9,1.3327,-0.8295,2.3087,-0.2896,2.1137,0.2034,-0.5118,2.0099,-0.0054,-0.1879,1.1755,-0.066,0.6308,0.4602,-0.0329
361951.34,1185.71,3,2.0,2059.57,0,51.24,2.56,0.263,9.07,7.85,3.24,55.23,70430.31,1.402,6.572,50.73,106.19,992.34,6.0,7.6303,0.74,3.346,66.065,Central,Townhouse,Gas,1.9897,0.9312,-2.1494,3.6714,1.0591,-1.575,-1.2433,-0.7898,-3.3669,-1.677,0.6362,0.8679,-1.2221,0.8584,1.0045,-0.5625,1.0143,0.4183,-1.496,0.6655,1.5673,0.5214,0.2542,0.1703,-0.1545,1.5548,0.4539,-0.1102,0.1804,0.9561,0.2165,0.3598,-0.0053,0.4606,-1.302,-0.0513,0.2143,1.2123,1.7196,2.7038
338280.23,2256.14,4,3.0,4268.57,1,40.12,3.16,0.378,13.15,1.28,3.94,22.72,46924.44,0.921,5.466,30.51,218.47,2133.57,10.0,8.359,2.606,-0.847,40.322,Central,Townhouse,Gas,-0.6896,-1.0251,-1.468,0.4678,-1.2895,2.0054,1.3821,0.0466,-1.1125,0.59,1.2905,-0.4883,-0.2083,-1.3697,1.019,-0.2873,-1.8728,0.1728,0.3043,1.0811,-1.0387,-2.5871,-1.7446,-1.6142,-0.8677,0.1406,0.8374,0.5199,0.3648,0.1569,0.6455,-0.8328,0.0799,1.2179,-1.0544,-1.6906,-0.7524,0.242,0.2203,-0.9633
321489.58,1476.46,4,2.4,4216.43,1,20.71,5.91,0.697,11.69,5.51,5.23,20.36,64807.79,1.021,5.207,42.19,140.1,1500.24,7.4,8.3467,5.309,0.508,48.831,Suburban,Detached,Electric,-2.2109,0.9609,-2.2038,0.7609,0.5065,-0.961,0.7535,-1.0635,-1.3961,-1.1677,-0.3862,-0.14,0.8393,-1.5734,0.916,0.6558,1.2962,-0.0399,0.2663,-1.3247,-1.1041,-1.7354,-0.3413,1.3504,0.2314,-1.5126,-2.0958,0.0052,-1.7722,0.1758,0.4648,-1.6632,-0.9572,-0.602,-1.6555,-0.3501,-0.1083,-0.9341,-1.4376,0.0473
736484.65,2243.75,4,3.1,6245.82,2,27.5,4.51,0.492,12.38,7.9,4.25,46.95,83776.37,1.134,4.994,40.5,203.61,2236.37,10.1,8.7397,4.237,2.296,83.426,Central,Townhouse,Oil,-0.0203,-0.7845,1.6462,1.6622,1.6107,-0.1486,-0.4264,0.6243,2.1739,0.2911,-1.0101,0.4084,1.8821,0.0287,0.6312,0.4071,-0.025,-0.7114,-0.8888,0.9283,-0.3478,-0.2636,-0.1082,-0.2114,-0.791,0.3757,-0.9224,-0.3486,-0.1686,0.6213,1.475,0.4532,0.3652,0.8018,-0.2746,1.8584,0.9654,-0.6592,-0.166,0.7432
413095.6,1684.08,6,2.8,4142.85,1,30.96,4.27,0.451,6.46,7.41,4.75,48.73,72446.82,1.396,6.037,42.54,157.02,1489.16,11.8,8.3291,3.481,2.499,68.339,Industrial,Townhouse,Electric,1.5494,-0.0193,0.3153,1.5127,-0.1731,-0.3255,-0.2459,-0.8425,2.2067,-0.4868,0.4786,-0.4486,1.782,0.3986,1.9571,1.5467,-0.0037,-0.7692,-1.3535,-0.4264,0.3404,1.356,-0.3521,-0.5275,0.6057,1.8591,0.3628,0.1196,-0.7506,0.7411,-2.3085,-0.062,1.7836,0.3569,0.5993,-0.6383,0.7027,0.4241,1.0226,2.2407
398456.32,1583.26,4,2.6,3415.58,0,48.73,3.6,0.446,12.55,5.77,4.31,46.14,80450.88,1.167,4.746,38.49,147.83,1404.25,9.6,8.1361,2.476,1.313,82.44,Central,Townhouse,Electric,-0.5874,-1.3429,-0.6614,0.4063,-0.3024,1.2935,-2.7544,-3.8062,-0.3819,-1.1377,0.508,1.5313,-0.7958,1.0944,-0.5397,1.2117,-2.0374,-0.4609,-0.2524,2.2907,-0.1818,1.8878,0.5008,-0.3105,0.981,0.4757,-1.9245,-0.0406,0.5342,-2.0864,0.4091,-0.1467,0.2277,-0.6769,-0.7556,0.0291,-0.2134,-2.7347,0.3674,0.2977
472926.33,1376.32,4,2.3,2702.05,1,31.98,6.37,0.494,7.54,8.46,4.43,64.35,60926.66,1.233,5.361,57.91,135.15,1331.63,8.3,7.9018,4.297,3.794,51.071,Riverside,Detached,Electric,0.9391,-0.4495,1.2706,1.9768,0.7267,-1.1911,-0.8949,0.7133,-1.4148,-0.8967,0.2404,-1.1087,1.275,-0.5688,-0.1552,1.9564,-0.3887,0.4603,0.6529,-0.1883,0.4995,-0.4145,0.7201,-0.3821,1.2036,1.185,-1.7661,-1.5207,-0.2676,-0.3509,0.4932,0.5327,1.0824,1.2814,1.0046,0.2002,1.1317,0.319,-1.4781,0.6594
416272.33,2283.76,4,2.7,6394.33,2,69.53,0.8,0.25,14.48,7.18,4.0,40.14,72027.44,1.139,5.556,33.76,208.57,1961.37,8.7,8.7632,-0.506,1.884,68.792,Suburban,Townhouse,Electric,0.6488,1.2252,0.1423,1.74,0.9404,2.362,0.2433,1.6185,-1.1234,2.5584,0.2757,0.3161,0.0586,0.1934,-0.2145,0.5592,1.3555,0.6623,0.4167,0.9082,-0.0492,-0.1706,-0.7735,-1.1902,1.6193,-0.4852,-0.2705,0.263,-0.0808,-0.4548,-0.1484,0.8344,0.2895,1.0585,0.3149,1.4631,0.3502,1.01,1.2961,1.374
441562.46,1887.31,5,2.7,4610.79,1,50.44,0.8,0.25,4.69,6.33,2.92,60.24,39132.05,1.16,5.223,37.32,179.94,1451.16,9.7,8.4362,0.643,2.453,41.483,Riverside,Townhouse,Gas,3.3757,1.0853,0.3586,-0.0481,2.1662,-0.9049,-0.4159,-1.9357,0.8817,-1.9703,-0.1126,0.7354,1.0444,0.1591,-0.3681,0.5431,-0.4267,0.797,-0.8808,-0.1784,-0.1146,-0.8369,-0.8098,0.165,-1.676,-0.8712,0.4915,-0.0423,-0.7449,-0.1614,-2.2465,-0.1259,-0.9732,-0.3644,-0.2018,-0.2826,-0.2261,-0.0773,-0.9246,-0.883
424189.81,1552.74,5,2.4,2559.13,1,53.55,2.22,0.267,6.38,7.07,2.9,47.15,53975.86,1.34,5.654,66.71,144.51,1380.5,10.4,7.8474,0.647,2.29,48.827,Suburban,Detached,Gas,-1.6467,2.0934,0.6706,1.4325,-0.4107,-1.3471,3.08,0.1394,-1.0886,-0.0126,0.0982,-0.3134,0.7883,-0.1314,-1.9888,-0.4874,0.7135,-0.0015,0.1369,2.1967,2.4131,0.6332,-0.036,-0.5972,-1.199,-0.0709,0.5378,0.3122,1.7246,0.7708,-0.0658,-1.1323,-0.6976,1.0844,-0.0072,-0.8981,1.408,-0.1307,0.3951,-0.9168
558249.39,1388.04,4,2.3,3711.93,1,0.0,9.12,0.699,5.27,9.31,3.33,54.38,90289.06,1.287,6.91,56.3,137.9,1362.2,7.3,8.2193,8.133,3.38,92.335,Central,Duplex,Heat pump,2.9296,3.5773,1.8212,4.078,3.6353,0.4394,1.7092,-0.8889,3.1979,1.304,-0.1817,-0.5388,-1.264,-0.0725,1.3749,0.826,0.0346,0.3836,0.8871,-0.5124,-0.5252,1.5285,-1.5437,0.6709,2.9278,-1.9267,1.5824,-0.0775,-1.2836,-1.7901,-0.6583,-0.5341,-0.9611,-0.6225,1.6563,0.8833,-0.7414,-0.8334,-0.3355,0.2466
425121.84,2071.97,4,3.7,2763.68,2,42.53,5.44,0.398,10.28,5.78,5.61,41.88,82413.4,1.024,5.433,39.1,200.24,1754.29,9.7,7.9243,3.335,1.316,79.628,Suburban,Condo,Heat pump,-0.5092,2.6714,-0.7202,-0.4528,-0.0832,-0.5165,-1.195,0.0295,-0.355,0.3125,1.0702,-0.0761,0.55,-0.8547,-1.026,-0.6561,1.0627,-0.1685,-1.1727,1.1651,1.6399,1.256,-0.477,0.5176,1.0095,2.2641,0.0823,-0.3603,-0.3997,-1.3491,1.6984,0.6259,0.2792,0.0529,-1.269,-0.6206,-1.5597,1.5493,-0.0973,1.162
478517.59,2019.29,5,2.6,4981.05,2,29.45,4.45,0.578,17.3,3.12,6.08,14.92,55965.59,0.855,5.261,18.56,188.78,1764.99,10.6,8.5134,3.952,-1.849,55.802,Central,Detached,Oil,-2.7723,-2.0922,-3.2157,-2.3794,0.7879,1.3525,1.0323,-0.5567,2.8918,-0.2692,2.2285,0.812,1.0057,0.2797,0.1698,-1.4705,0.1915,-1.7423,0.0632,0.6267,1.4469,-0.029,1.3481,1.6257,0.2244,0.1397,-0.3727,0.8749,0.1076,-0.6817,0.3335,0.0527,1.0984,-0.5966,1.4472,-2.0865,-1.1607,-0.6719,-0.9213,-0.1852
496125.02,1991.19,4,2.9,5657.46,0,53.93,1.24,0.25,4.32,7.04,4.67,59.57,72304.67,1.145,6.058,62.71,183.41,1729.43,9.9,8.6407,1.101,2.883,75.28,Central,Detached,Gas,1.2708,1.2916,0.2197,2.1761,1.9869,0.8347,1.3714,1.057,1.3108,1.5218,0.1797,-0.4998,-0.0202,0.195,-1.4219,1.5263,-0.9318,-0.2159,1.3396,0.4043,0.5041,-0.8385,-1.5063,-0.2116,0.032,0.8668,-1.3074,0.5331,-0.2514,0.1543,-0.7267,-0.4122,0.3673,1.0264,1.304,2.253,0.8686,-0.422,2.1378,0.4809
563229.53,2015.13,5,3.2,4538.16,3,50.76,2.91,0.383,11.91,7.22,5.68,50.88,92904.56,0.853,5.632,53.23,190.25,1725.32,12.2,8.4203,2.327,1.87,97.669,Hillside,Townhouse,Electric,0.3432,-2.018,-0.3849,-1.2373,-0.574,-0.6175,0.0253,-0.529,-0.8031,-0.7502,-0.0066,-1.0689,-0.2463,-0.44,0.6207,-1.2492,0.0565,-0.3753,-1.2749,0.229,-1.9261,0.0082,-0.3401,-0.8032,-0.0569,-0.4615,-0.3846,1.396,-0.7639,0.8321,-2.0448,-0.7688,-0.2844,-0.4484,0.0174,0.9739,1.3383,0.6071,0.4721,1.4503
621678.73,2550.72,6,3.3,9410.65,1,18.68,7.43,0.509,11.34,5.95,5.1,31.57,54600.96,0.996,6.292,46.9,235.89,2309.7,11.3,9.1496,5.609,0.973,55.063,Suburban,Detached,Electric,0.9773,0.9438,0.4758,-1.4723,0.7975,2.0559,2.3556,0.8254,2.4202,2.1144,0.2559,1.1506,-1.5717,0.6658,-0.7854,0.4389,1.6012,-1.039,1.1555,-0.667,0.0311,1.3808,-0.5923,-1.4697,-1.9337,-1.5431,0.7075,0.4947,-1.8117,1.6313,0.7009,0.8385,-0.4587,1.1998,1.7346,2.5453,0.1117,0.9933,2.254,-0.8792
462579.05,1362.09,4,3.2,2621.02,1,16.44,5.04,0.634,7.93,8.27,2.42,58.64,81678.05,1.43,5.591,39.16,136.62,1176.73,8.2,7.8713,4.946,4.037,77.608,Suburban,Condo,Gas,1.5328,1.4518,-0.4042,2.6868,0.905,-1.0649,-0.0752,0.9517,0.5192,-1.6542,-0.6579,0.3993,0.6836,1.0278,-1.136,-0.8803,0.4976,-0.5674,1.6192,-2.5861,-0.5147,-0.4005,2.0053,2.1933,-0.7723,1.4258,0.7527,-0.1976,-0.6915,-0.2864,0.7151,-0.1837,0.4123,0.6703,-0.2276,0.9878,1.9476,-0.2066,3.0659,-1.1062
379415.5,1328.58,2,2.1,3670.82,1,20.97,7.23,0.578,10.09,4.53,7.8,23.11,41173.89,0.941,5.363,18.25,123.9,1142.86,6.1,8.2082,5.239,-0.658,38.884,Central,Detached,Gas,-0.291,-0.8207,-0.6903,-2.1434,-3.7566,-0.0935,-2.1282,-0.7269,-0.7825,-2.7564,0.765,1.0079,0.2087,0.6774,0.1943,1.1267,-0.1164,0.1351,-0.2222,1.0744,0.0201,-1.8154,-0.5379,0.6621,-0.1118,-1.1241,0.2646,0.6168,-0.9594,0.8305,-0.2895,0.6054,-1.4592,-0.67,-0.0827,0.2383,-0.4886,-1.0535,-0.6163,-3.2334
297674.74,1063.83,3,2.1,2939.93,0,43.66,4.77,0.547,14.6,5.83,6.37,33.82,64799.11,1.106,4.519,25.97,96.4,863.75,6.1,7.9861,3.396,-0.72,67.984,Industrial,Detached,Heat pump,0.271,-2.6186,-0.3348,-1.2295,-1.5403,1.4516,-2.0514,-0.9908,0.1918,-0.9962,0.4412,0.7593,-0.9222,-1.0424,-0.7007,1.2629,2.2557,-1.1332,-0.343,-0.4888,-1.063,-0.36,-0.4798,-0.6924,-0.7159,0.3488,0.5471,-1.9806,1.6792,0.7102,0.5254,0.7229,-1.3688,1.5168,-0.9326,-0.0999,-0.6632,-0.6315,0.7978,0.4259
407877.81,2001.36,5,2.4,5013.64,2,40.5,5.57,0.431,14.91,3.86,5.78,26.39,56656.54,0.6,4.609,24.45,183.17,2107.82,9.4,8.5199,3.757,-0.651,51.55,Hillside,Detached,Electric,-0.6216,-1.1794,-0.4317,-2.3334,-1.9088,0.1711,0.8227,1.4469,1.5951,-0.9001,-0.4205,2.1799,-0.3258,0.0996,-0.5742,0.5292,1.1592,-0.7108,1.0331,1.1696,0.7563,-0.279,-1.0308,1.6932,-0.5851,0.4431,1.2764,2.1037,2.2647,0.5417,-0.3655,-0.3473,0.8484,-0.8142,0.8803,-0.2895,-0.9706,1.2079,-0.8546,-0.2691
296316.32,2159.15,5,2.8,5767.7,1,17.0,3.9,0.533,11.91,5.23,4.85,37.01,38885.39,1.122,4.49,19.42,193.31,1877.51,9.8,8.66,4.276,1.037,37.995,Industrial,Condo,Electric,-1.4496,-0.5479,-0.4343,0.738,-2.7049,1.7695,1.2483,0.3279,1.8446,1.115,0.9021,1.115,0.1545,-0.9114,0.1718,1.2464,0.8167,1.5479,-0.1861,0.3517,0.985,-1.8213,0.0093,1.3562,2.5587,0.074,0.0753,0.2744,-0.0508,-0.0243,1.0998,1.0149,-0.1799,-1.2785,-0.5441,0.7079,2.1797,0.7305,1.5485,1.2925
480477.35,1572.94,5,2.5,4146.89,1,15.45,7.23,0.503,8.57,6.05,4.84,41.62,53983.47,1.111,5.709,53.6,149.47,1609.89,10.5,8.3301,5.976,2.214,52.054,Riverside,Duplex,Gas,1.033,0.6065,1.2041,1.4634,0.352,-0.0846,-0.9642,-0.6757,-0.1337,1.2241,0.019,-0.7241,-0.5586,0.0966,0.8,0.0073,0.3173,-1.6027,-2.3531,1.2003,1.17,0.232,0.2702,-1.3513,-0.2517,-0.7846,1.3673,2.1845,-1.4048,-0.3995,1.0002,0.1534,-0.275,0.8861,-0.0139,-0.5083,-0.0978,0.0255,-0.7401,-0.0343
236289.67,815.12,2,2.1,3872.52,0,18.25,5.82,0.545,8.45,7.05,2.87,43.7,57677.5,1.07,4.751,37.13,70.81,720.57,5.1,8.2617,4.165,3.429,57.161,Industrial,Condo,Electric,1.1232,-0.2957,3.1462,0.2353,-1.9563,-0.8113,-1.7934,-0.4733,-2.2501,1.385,-0.9701,0.4703,0.0027,-0.9075,-0.8184,2.2342,0.7303,-0.1832,-0.0988,0.8019,-0.3822,0.506,-0.8858,-0.7535,0.2781,-0.1496,-0.7266,-0.8693,0.738,-1.0654,-1.6652,0.2152,-0.2479,-2.2545,0.5477,-1.2269,-1.516,0.6422,-0.255,0.7604
253318.36,1129.2,4,2.2,4478.79,1,46.91,3.41,0.306,8.27,5.08,4.83,53.77,77043.79,1.149,6.191,58.75,111.5,941.56,8.2,8.4071,2.274,0.9,71.997,Suburban,Townhouse,Gas,-0.7025,1.7035,-0.0856,-1.1396,-0.141,-1.0227,-0.9322,-2.6741,-0.9166,-0.7122,0.3516,-0.5575,-1.7499,1.2772,-0.9912,0.7462,0.7627,-1.1663,0.4704,-2.4647,-1.0594,1.8599,0.9887,-0.1323,0.2425,-0.9501,-0.0733,-1.1176,-0.9811,-1.1316,-1.4281,-2.2546,0.6271,1.3601,0.8835,-0.5298,2.2271,-0.236,0.2405,-0.4561
